RS_number	rs12802972	rs11042596	rs555759341	rs4929965	rs4930091	rs2283164	rs80102379	rs231349	rs231361	rs2283220	rs234853	rs2237895	rs2237897	rs445084	rs141521721	rs67254669	rs4923543	rs7943101	rs145678014	rs286925	rs2767036	rs1061810	rs7115753	rs7124681	rs1783541	rs61881115	rs11820019	rs77464186	rs10830963	rs57235767	rs10893829	rs10750397	rs67232546	rs112595469
rs2237897	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.013	0.002	0.093	0.035	1.0	0.005	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.006	0.001	0.0	0.001	0.001	0.0	0.001	0.0	0.002	0.0	0.001	0.003	0.001
rs445084	0.0	0.003	0.0	0.0	0.0	0.004	0.0	0.0	0.001	0.003	0.006	0.001	0.005	1.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.001	0.0	0.003	0.001	0.001	0.001	0.0
rs141521721	0.004	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.002	0.002	0.001	0.001	0.0	0.0	1.0	0.0	0.0	0.014	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.001	0.0
rs67254669	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	1.0	0.003	0.001	0.0	0.001	0.0	0.002	0.004	0.005	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0
rs4923543	0.001	0.0	0.002	0.004	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0.003	1.0	0.0	0.002	0.0	0.002	0.0	0.002	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.002	0.0	0.0
rs7943101	0.0	0.0	0.008	0.0	0.001	0.001	0.001	0.007	0.003	0.0	0.0	0.0	0.001	0.0	0.014	0.001	0.0	1.0	0.001	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.0	0.001	0.001	0.001	0.0
rs145678014	0.002	0.001	0.0	0.0	0.0	0.005	0.001	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.001	0.0	0.002	0.001	1.0	0.0	0.002	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.004	0.0	0.0	0.001	0.0
rs286925	0.001	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001	0.0	0.001	0.001	0.0	0.001	0.0	1.0	0.005	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.003	0.002	0.003	0.001
rs2767036	0.0	0.006	0.002	0.0	0.003	0.001	0.002	0.0	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.005	1.0	0.0	0.001	0.002	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.001	0.0
rs1061810	0.001	0.004	0.0	0.001	0.001	0.003	0.0	0.0	0.001	0.001	0.0	0.0	0.006	0.0	0.0	0.002	0.0	0.001	0.002	0.002	0.0	1.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.003	0.001	0.002	0.002	0.0
rs7115753	0.002	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.004	0.002	0.0	0.001	0.001	0.001	0.001	1.0	0.001	0.0	0.001	0.0	0.0	0.0	0.002	0.001	0.001	0.0	0.0
rs7124681	0.0	0.0	0.001	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.005	0.0	0.0	0.001	0.0	0.002	0.0	0.001	1.0	0.001	0.0	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.0
rs1783541	0.0	0.0	0.004	0.002	0.0	0.01	0.001	0.002	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.001	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.001	1.0	0.004	0.0	0.001	0.0	0.004	0.0	0.001	0.0	0.0
rs61881115	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.001	0.005	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.002	0.001	0.0	0.004	1.0	0.003	0.001	0.0	0.0	0.0	0.0	0.003	0.0
rs11820019	0.002	0.0	0.0	0.001	0.0	0.002	0.011	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.003	1.0	0.002	0.001	0.0	0.004	0.0	0.0	0.001
rs77464186	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.003	0.0	0.001	0.0	0.001	0.001	0.0	0.001	0.003	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.001	0.001	0.002	1.0	0.001	0.0	0.001	0.002	0.001	0.0
rs10830963	0.0	0.0	0.0	0.002	0.002	0.0	0.003	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	1.0	0.004	0.0	0.001	0.001	0.001
rs57235767	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.001	0.0	0.002	0.001	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.004	0.002	0.0	0.003	0.002	0.0	0.004	0.0	0.0	0.0	0.004	1.0	0.004	0.003	0.001	0.003
rs10893829	0.0	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.002	0.003	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.003	0.001	0.001	0.001	0.002	0.0	0.0	0.004	0.001	0.0	0.004	1.0	0.001	0.002	0.002
rs10750397	0.001	0.0	0.0	0.0	0.0	0.001	0.003	0.0	0.001	0.0	0.003	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.0	0.002	0.001	0.002	0.001	0.001	0.001	0.0	0.0	0.002	0.001	0.003	0.001	1.0	0.001	0.005
rs67232546	0.0	0.002	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.003	0.001	0.001	0.0	0.0	0.001	0.001	0.003	0.001	0.002	0.0	0.0	0.0	0.003	0.0	0.001	0.001	0.001	0.002	0.001	1.0	0.002
rs112595469	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.003	0.002	0.005	0.002	1.0

